车辆id,年超载行驶次数范围,年超速行驶次数范围,年夜晚行驶次数范围,年异地行驶次数范围,年高速总里程范围,年高速行驶时间范围,平均单次出行里程范围,平均行驶速度范围,安全评分
5082,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[72, 84)",30
5083,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[25, 35)","[64, 72)",80
5084,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[0, 15)","[0, 56)",55
5085,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[84, inf)",30
5086,"[0, 1)","[1, 12)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",60
5087,"[0, 1)","[1, 12)","[1, 5)","[0, 1)","[1200, 2400)","[20, 30)","[55, 75)","[72, 84)",19
5088,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[45, 55)","[72, 84)",80
5089,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",65
5090,"[0, 1)","[1, 12)","[5, 15)","[1, 10)","[1200, 2400)","[20, 30)","[75, 120)","[72, 84)",59
5091,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[0, 600)","[0, 10)","[120, inf)","[72, 84)",68
5092,"[0, 1)","[0, 1)","[1, 5)","[0, 1)","[600, 1200)","[10, 20)","[35, 45)","[64, 72)",89
5093,"[0, 1)","[1, 12)","[1, 5)","[1, 10)","[600, 1200)","[10, 20)","[120, inf)","[72, 84)",23
5094,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[55, 75)","[64, 72)",46
5095,"[0, 1)","[20, inf)","[15, inf)","[0, 1)","[4000, 10000)","[45, 80)","[55, 75)","[84, inf)",25
5096,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[15, 25)","[72, 84)",93
5097,"[0, 1)","[20, inf)","[5, 15)","[10, 20)","[4000, 10000)","[80, 140)","[75, 120)","[84, inf)",28
5098,"[0, 1)","[0, 1)","[0, 1)","[0, 1)","[0, 600)","[0, 10)","[75, 120)","[0, 56)",48
5099,"[0, 1)","[12, 20)","[15, inf)","[10, 20)","[4000, 10000)","[140, inf)","[120, inf)","[72, 84)",27
